id,open time,open,high,low,close,volume,close time,quote asset volume,number of trades,taker buy base asset volume,taker buy quote asset volume,ignore
116,1635759600000,61999.49000000,62205.66000000,61944.72000000,62123.29000000,185.83179000,1635759899999,11545205.66860450,5365,106.71568000,6629258.22975560,0
117,1635759900000,62132.04000000,62163.33000000,62056.99000000,62068.02000000,109.10187000,1635760199999,6776732.26368830,3886,62.30381000,3870013.79264390,0
118,1635760200000,62068.01000000,62073.45000000,61886.49000000,62012.00000000,203.33867000,1635760499999,12607945.09750370,4959,78.15260000,4846444.13829580,0
119,1635760500000,62011.99000000,62038.68000000,61891.75000000,61950.45000000,113.20496000,1635760799999,7013698.47166380,3901,50.24173000,3112999.09894590,0
120,1635760800000,61950.45000000,62061.35000000,61929.40000000,62005.70000000,171.43015000,1635761099999,10629945.79415750,5071,70.85033000,4392863.85810100,0
121,1635761100000,62005.70000000,62067.89000000,61970.36000000,61984.47000000,99.22493000,1635761399999,6154439.58082640,4732,53.81894000,3338005.60875350,0
122,1635761400000,61984.47000000,62065.76000000,61972.84000000,61977.83000000,106.62342000,1635761699999,6613049.98227940,4534,52.52572000,3257866.91240310,0
123,1635761700000,61977.82000000,61985.98000000,61885.89000000,61893.86000000,94.95925000,1635761999999,5880957.77947170,4526,48.18548000,2984089.68731010,0
124,1635762000000,61893.86000000,62058.34000000,61892.10000000,61997.58000000,143.50162000,1635762299999,8895015.99711890,5301,85.34063000,5289291.58413840,0
125,1635762300000,61996.65000000,62070.00000000,61933.83000000,62041.86000000,180.12867000,1635762599999,11168762.85579610,5830,99.99259000,6199730.15931100,0
126,1635762600000,62041.86000000,62100.00000000,62012.54000000,62079.52000000,139.45090000,1635762899999,8655200.71268400,4768,77.25426000,4794872.46021490,0
127,1635762900000,62079.52000000,62110.00000000,62038.84000000,62097.64000000,95.95517000,1635763199999,5957210.93808150,3546,47.89107000,2973183.93260580,0
128,1635763200000,62097.63000000,62117.92000000,62002.00000000,62002.00000000,114.10201000,1635763499999,7080314.79249340,3620,51.66655000,3206029.00798640,0
129,1635763500000,62002.00000000,62120.00000000,61970.90000000,62085.04000000,103.21901000,1635763799999,6406130.80272680,4118,56.63440000,3515349.98762230,0
130,1635763800000,62085.05000000,62187.00000000,62048.00000000,62156.74000000,168.82486000,1635764099999,10488912.19250030,5213,95.81023000,5952683.68006390,0
131,1635764100000,62159.99000000,62273.27000000,62118.41000000,62249.92000000,170.57663000,1635764399999,10608156.61331990,5635,92.90891000,5778686.26315510,0
132,1635764400000,62249.92000000,62436.87000000,62180.03000000,62333.55000000,395.22385000,1635764699999,24632178.80071950,10330,213.54702000,13310300.73215240,0
133,1635764700000,62333.54000000,62426.51000000,62212.14000000,62306.97000000,208.42526000,1635764999999,12987913.72834810,6856,96.16353000,5992150.37467860,0
134,1635765000000,62306.96000000,62306.97000000,62139.91000000,62165.48000000,174.31063000,1635765299999,10843320.67101070,5754,84.62794000,5263700.56931360,0
135,1635765300000,62165.48000000,62219.36000000,62071.10000000,62078.68000000,218.70092000,1635765599999,13587220.64352600,6676,89.50386000,5560915.98111430,0
136,1635765600000,62078.68000000,62179.99000000,62011.59000000,62064.39000000,195.42645000,1635765899999,12136312.79187920,5653,87.47768000,5432670.63121880,0
137,1635765900000,62062.63000000,62144.33000000,62050.00000000,62103.35000000,102.68020000,1635766199999,6376908.68576040,4191,48.95796000,3040473.57394350,0
138,1635766200000,62103.36000000,62174.85000000,62063.04000000,62081.47000000,88.10594000,1635766499999,5472715.33937000,4024,51.69462000,3211053.13068240,0
139,1635766500000,62081.48000000,62110.00000000,62023.08000000,62044.79000000,82.53844000,1635766799999,5122729.96041930,3579,42.21349000,2620013.77365300,0
140,1635766800000,62044.80000000,62070.68000000,61770.00000000,61905.18000000,247.92067000,1635767099999,15350184.21037240,7272,107.45081000,6653277.04014440,0
141,1635767100000,61905.18000000,62063.57000000,61885.71000000,61885.72000000,115.96961000,1635767399999,7185251.90623550,4334,61.33292000,3800382.92332410,0
142,1635767400000,61885.71000000,61971.74000000,61836.38000000,61923.76000000,118.24117000,1635767699999,7319345.54848050,4313,69.41997000,4297285.50547320,0
143,1635767700000,61923.76000000,61940.00000000,61785.48000000,61807.99000000,111.94638000,1635767999999,6923762.92568370,4837,44.95071000,2780126.31482270,0
144,1635768000000,61808.00000000,62096.04000000,61793.01000000,61980.80000000,285.68029000,1635768299999,17698764.39762760,7868,139.57291000,8647444.22015160,0
145,1635768300000,61980.81000000,62014.54000000,61923.42000000,61974.89000000,182.85382000,1635768599999,11332143.09028870,4833,97.49728000,6041959.15351470,0
146,1635768600000,61974.89000000,62190.00000000,61970.81000000,62073.99000000,397.42712000,1635768899999,24675434.00979960,6423,152.66460000,9477213.80998070,0
147,1635768900000,62073.99000000,62078.11000000,61899.13000000,61920.55000000,171.07607000,1635769199999,10599477.46190490,5519,72.99288000,4522605.03603680,0
148,1635769200000,61920.55000000,61998.50000000,61722.59000000,61774.23000000,255.84706000,1635769499999,15831108.94551350,5869,84.01329000,5198545.86190410,0
149,1635769500000,61774.24000000,61910.03000000,61600.00000000,61831.39000000,276.32992000,1635769799999,17073790.12101120,7934,122.18198000,7552674.55457470,0
150,1635769800000,61831.40000000,61897.42000000,61757.04000000,61840.00000000,149.82867000,1635770099999,9262131.16728690,5628,82.29615000,5087736.46602950,0
151,1635770100000,61840.00000000,61900.00000000,61777.96000000,61850.32000000,141.30154000,1635770399999,8737708.46287220,5123,67.92736000,4200428.50935200,0
152,1635770400000,61850.32000000,61868.30000000,61793.45000000,61811.39000000,68.29088000,1635770699999,4222743.38316020,3457,33.49685000,2071199.34377430,0
153,1635770700000,61811.38000000,61868.78000000,61613.91000000,61819.76000000,221.60043000,1635770999999,13687806.99572750,6154,109.22056000,6747110.32513650,0
154,1635771000000,61819.76000000,62004.25000000,61809.53000000,61958.25000000,137.16528000,1635771299999,8490961.10104980,4809,85.38228000,5285796.86978700,0
155,1635771300000,61958.25000000,61958.25000000,61800.00000000,61842.67000000,104.98930000,1635771599999,6494744.68943760,3686,42.75960000,2645014.36319080,0
156,1635771600000,61842.66000000,61900.00000000,61750.00000000,61762.54000000,96.00205000,1635771899999,5936009.56853120,4000,46.64389000,2884664.22877340,0
157,1635771900000,61762.55000000,61800.00000000,61750.00000000,61757.22000000,88.42726000,1635772199999,5462405.42543710,3840,52.57319000,3247453.92149860,0
158,1635772200000,61757.22000000,61819.00000000,61714.79000000,61811.50000000,122.22325000,1635772499999,7549167.97112900,4168,74.06013000,4574595.10731490,0
159,1635772500000,61811.49000000,61818.17000000,61743.37000000,61789.22000000,90.62619000,1635772799999,5599212.65507220,3798,43.81769000,2707242.81314430,0
160,1635772800000,61789.23000000,61822.00000000,61700.00000000,61797.29000000,128.68716000,1635773099999,7947602.89830620,4370,56.81372000,3508858.21337340,0
161,1635773100000,61799.12000000,61893.68000000,61748.18000000,61875.00000000,72.81261000,1635773399999,4501294.12476120,3715,46.03448000,2845903.51387640,0
162,1635773400000,61875.00000000,61984.51000000,61818.54000000,61973.01000000,109.70216000,1635773699999,6791145.61734450,4611,60.87316000,3768313.83410870,0
163,1635773700000,61973.01000000,62000.00000000,61761.73000000,61962.02000000,197.67058000,1635773999999,12238778.36745650,6099,111.37591000,6896623.44534700,0
164,1635774000000,61962.01000000,61963.63000000,61841.49000000,61914.35000000,102.75138000,1635774299999,6360746.57504920,4923,50.05207000,3098310.21790370,0
165,1635774300000,61914.35000000,61999.00000000,61733.91000000,61790.12000000,205.28252000,1635774599999,12706941.41859260,5842,93.89214000,5812783.52581050,0
166,1635774600000,61790.12000000,61950.25000000,61781.84000000,61927.78000000,140.30363000,1635774899999,8682519.74018060,4040,89.26358000,5523606.16540380,0
167,1635774900000,61927.77000000,62047.85000000,61900.00000000,61945.09000000,271.16307000,1635775199999,16806393.56282090,5835,173.34963000,10744687.14503890,0
168,1635775200000,61945.09000000,61997.12000000,61750.00000000,61789.21000000,134.96722000,1635775499999,8348683.41307120,5803,61.70794000,3817244.43914210,0
169,1635775500000,61789.21000000,61822.87000000,61732.06000000,61804.00000000,99.31451000,1635775799999,6135050.60282890,4634,50.81575000,3139154.66129700,0
170,1635775800000,61803.99000000,61810.88000000,61724.60000000,61754.06000000,82.00317000,1635776099999,5064851.00879420,4298,36.35728000,2245543.95942030,0
171,1635776100000,61754.06000000,61841.00000000,61749.22000000,61825.90000000,114.27624000,1635776399999,7062238.22354510,4435,46.87295000,2896586.57460890,0
172,1635776400000,61825.90000000,61879.47000000,61761.72000000,61782.99000000,145.28271000,1635776699999,8984928.98757400,3715,54.18281000,3350253.90211680,0
173,1635776700000,61782.99000000,61794.71000000,61717.50000000,61723.86000000,70.45798000,1635776999999,4350637.68715070,3628,36.73365000,2268251.83665970,0
174,1635777000000,61723.85000000,61772.60000000,61670.00000000,61733.06000000,96.20383000,1635777299999,5936796.02736980,4346,48.26261000,2978337.15891340,0
175,1635777300000,61733.07000000,61753.58000000,61637.31000000,61666.83000000,130.32621000,1635777599999,8038693.45186280,4486,67.47029000,4161634.88115830,0
176,1635777600000,61661.08000000,61700.00000000,61647.00000000,61678.64000000,94.83153000,1635777899999,5848445.26309100,4341,45.03679000,2777468.76537240,0
177,1635777900000,61678.63000000,61743.69000000,61517.24000000,61679.44000000,221.90982000,1635778199999,13677863.63616650,7176,114.45576000,7055542.55931200,0
178,1635778200000,61679.44000000,61689.83000000,61504.00000000,61514.49000000,102.66603000,1635778499999,6323287.91962880,4595,41.64960000,2565117.72996290,0
179,1635778500000,61514.49000000,61530.60000000,61300.01000000,61454.25000000,478.50796000,1635778799999,29385209.50580360,12382,153.10737000,9402760.81921080,0
180,1635778800000,61454.24000000,61554.69000000,61401.30000000,61407.28000000,103.56701000,1635779099999,6368120.87014820,4873,57.03948000,3507169.92717870,0
181,1635779100000,61407.27000000,61500.00000000,61400.00000000,61459.00000000,103.62671000,1635779399999,6369104.55593090,3621,74.52909000,4580570.92875660,0
